Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
TRP,TC ENERGY CORP,Energy,Equity,"71,786,515.44",0.06,"71,786,515.44","1,467,833.00",48.91,Canada,Toronto Stock Exchange,CAD
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"71,698,935.16",0.06,"71,698,935.16","458,228.00",156.47,United States,New York Stock Exchange Inc.,USD
SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrials,Equity,"71,643,571.74",0.06,"71,643,571.74","667,492.00",107.33,France,Nyse Euronext - Euronext Paris,EUR
SLB,SCHLUMBERGER NV,Energy,Equity,"71,453,825.00",0.06,"71,453,825.00","2,132,950.00",33.50,United States,New York Stock Exchange Inc.,USD
7267,HONDA MOTOR LTD,Consumer Discretionary,Equity,"71,241,386.28",0.06,"71,241,386.28","6,785,650.00",10.50,Japan,Tokyo Stock Exchange,JPY
EBAY,EBAY INC,Consumer Discretionary,Equity,"70,549,399.20",0.06,"70,549,399.20","772,890.00",91.28,United States,NASDAQ,USD
OKE,ONEOK INC,Energy,Equity,"70,297,593.80",0.06,"70,297,593.80","928,634.00",75.70,United States,New York Stock Exchange Inc.,USD
TGT,TARGET CORP,Consumer Staples,Equity,"70,172,949.26",0.06,"70,172,949.26","685,082.00",102.43,United States,New York Stock Exchange Inc.,USD
ROST,ROSS STORES INC,Consumer Discretionary,Equity,"69,810,731.87",0.06,"69,810,731.87","492,353.00",141.79,United States,NASDAQ,USD
FERG,FERGUSON ENTERPRISES INC,Industrials,Equity,"69,671,528.08",0.06,"69,671,528.08","308,063.00",226.16,United States,New York Stock Exchange Inc.,USD
DHI,D R HORTON INC,Consumer Discretionary,Equity,"69,173,244.27",0.06,"69,173,244.27","446,769.00",154.83,United States,New York Stock Exchange Inc.,USD
CCI,CROWN CASTLE INC,Real Estate,Equity,"69,177,497.40",0.06,"69,177,497.40","659,210.00",104.94,United States,New York Stock Exchange Inc.,USD
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials,Equity,"69,081,794.24",0.06,"69,081,794.24","880,696.00",78.44,United States,New York Stock Exchange Inc.,USD
EXPN,EXPERIAN PLC,Industrials,Equity,"68,489,766.64",0.06,"68,489,766.64","1,335,495.00",51.28,United Kingdom,London Stock Exchange,GBP
GMG,GOODMAN GROUP UNITS,Real Estate,Equity,"68,451,449.24",0.06,"68,451,449.24","3,034,586.00",22.56,Australia,Asx - All Markets,AUD
DHL,DEUTSCHE POST AG,Industrials,Equity,"68,330,083.34",0.06,"68,330,083.34","1,517,165.00",45.04,Germany,Xetra,EUR
ALC,ALCON AG,Health Care,Equity,"68,117,083.93",0.06,"68,117,083.93","778,860.00",87.46,Switzerland,SIX Swiss Exchange,CHF
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,"68,045,131.28",0.06,"68,045,131.28","858,722.00",79.24,United States,New York Stock Exchange Inc.,USD
DSV,DSV,Industrials,Equity,"68,030,228.69",0.06,"68,030,228.69","303,866.00",223.88,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
KR,KROGER,Consumer Staples,Equity,"67,966,550.75",0.06,"67,966,550.75","947,269.00",71.75,United States,New York Stock Exchange Inc.,USD
VOLV B,VOLVO CLASS B,Industrials,Equity,"67,648,570.34",0.06,"67,648,570.34","2,397,211.00",28.22,Sweden,Nasdaq Omx Nordic,SEK
PAYX,PAYCHEX INC,Industrials,Equity,"67,337,371.70",0.06,"67,337,371.70","483,815.00",139.18,United States,NASDAQ,USD
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,"67,345,284.44",0.06,"67,345,284.44","2,021,167.00",33.32,United States,NASDAQ,USD
WPM,WHEATON PRECIOUS METALS CORP,Materials,Equity,"67,045,130.27",0.06,"67,045,130.27","684,478.00",97.95,Canada,Toronto Stock Exchange,CAD
VLO,VALERO ENERGY CORP,Energy,Equity,"66,831,876.90",0.06,"66,831,876.90","488,430.00",136.83,United States,New York Stock Exchange Inc.,USD
GLE,SOCIETE GENERALE SA,Financials,Equity,"66,637,670.92",0.06,"66,637,670.92","1,047,548.00",63.61,France,Nyse Euronext - Euronext Paris,EUR
6503,MITSUBISHI ELECTRIC CORP,Industrials,Equity,"66,514,886.16",0.06,"66,514,886.16","2,810,111.00",23.67,Japan,Tokyo Stock Exchange,JPY
4502,TAKEDA PHARMACEUTICAL LTD,Health Care,Equity,"66,503,004.71",0.06,"66,503,004.71","2,326,895.00",28.58,Japan,Tokyo Stock Exchange,JPY
XEL,XCEL ENERGY INC,Utilities,Equity,"66,350,069.38",0.06,"66,350,069.38","899,906.00",73.73,United States,NASDAQ,USD
7741,HOYA CORP,Health Care,Equity,"66,100,358.00",0.06,"66,100,358.00","532,723.00",124.08,Japan,Tokyo Stock Exchange,JPY
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity,"66,102,006.84",0.06,"66,102,006.84","234,854.00",281.46,United States,New York Stock Exchange Inc.,USD
MBG,MERCEDES-BENZ GROUP N AG,Consumer Discretionary,Equity,"66,054,003.25",0.06,"66,054,003.25","1,155,849.00",57.15,Germany,Xetra,EUR
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,"66,025,575.48",0.06,"66,025,575.48","748,844.00",88.17,United States,New York Stock Exchange Inc.,USD
ARGX,ARGENX,Health Care,Equity,"65,983,288.62",0.06,"65,983,288.62","95,241.00",692.81,Belgium,Nyse Euronext - Euronext Brussels,EUR
O39,OVERSEA-CHINESE BANKING LTD,Financials,Equity,"65,938,376.14",0.06,"65,938,376.14","5,002,851.00",13.18,Singapore,Singapore Exchange,SGD
F,FORD MOTOR CO,Consumer Discretionary,Equity,"65,891,642.18",0.06,"65,891,642.18","5,957,653.00",11.06,United States,New York Stock Exchange Inc.,USD
EOAN,E.ON N,Utilities,Equity,"65,844,526.37",0.06,"65,844,526.37","3,486,184.00",18.89,Germany,Xetra,EUR
EXC,EXELON CORP,Utilities,Equity,"65,850,134.03",0.06,"65,850,134.03","1,473,487.00",44.69,United States,NASDAQ,USD
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,"65,794,439.35",0.06,"65,794,439.35","490,235.00",134.21,United States,NASDAQ,USD
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity,"65,742,354.86",0.06,"65,742,354.86","187,439.00",350.74,United States,New York Stock Exchange Inc.,USD
4568,DAIICHI SANKYO LTD,Health Care,Equity,"65,657,522.37",0.06,"65,657,522.37","2,714,771.00",24.19,Japan,Tokyo Stock Exchange,JPY
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"65,139,029.34",0.06,"65,139,029.34","231,137.00",281.82,United States,New York Stock Exchange Inc.,USD
MET,METLIFE INC,Financials,Equity,"65,076,639.07",0.06,"65,076,639.07","868,963.00",74.89,United States,New York Stock Exchange Inc.,USD
9434,SOFTBANK CORP,Communication,Equity,"65,008,111.50",0.06,"65,008,111.50","42,132,400.00",1.54,Japan,Tokyo Stock Exchange,JPY
MSCI,MSCI INC,Financials,Equity,"64,826,073.36",0.06,"64,826,073.36","116,232.00",557.73,United States,New York Stock Exchange Inc.,USD
GWW,WW GRAINGER INC,Industrials,Equity,"64,628,642.25",0.06,"64,628,642.25","69,075.00",935.63,United States,New York Stock Exchange Inc.,USD
BKR,BAKER HUGHES CLASS A,Energy,Equity,"64,571,048.64",0.06,"64,571,048.64","1,473,552.00",43.82,United States,NASDAQ,USD
CPRT,COPART INC,Industrials,Equity,"64,455,702.18",0.06,"64,455,702.18","1,384,804.00",46.55,United States,NASDAQ,USD
HLN,HALEON PLC,Health Care,Equity,"64,163,990.03",0.06,"64,163,990.03","13,802,664.00",4.65,United Kingdom,London Stock Exchange,GBP
EA,ELECTRONIC ARTS INC,Communication,Equity,"63,865,215.97",0.06,"63,865,215.97","396,703.00",160.99,United States,NASDAQ,USD
AME,AMETEK INC,Industrials,Equity,"63,868,043.70",0.06,"63,868,043.70","345,326.00",184.95,United States,New York Stock Exchange Inc.,USD
ADYEN,ADYEN NV,Financials,Equity,"63,687,623.37",0.06,"63,687,623.37","37,918.00","1,679.62",Netherlands,Euronext Amsterdam,EUR
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,"63,423,483.84",0.06,"63,423,483.84","1,074,246.00",59.04,United States,NASDAQ,USD
BAS,BASF N,Materials,Equity,"63,055,397.36",0.05,"63,055,397.36","1,282,774.00",49.16,Germany,Xetra,EUR
RMD,RESMED INC,Health Care,Equity,"62,704,845.00",0.05,"62,704,845.00","220,017.00",285.00,United States,New York Stock Exchange Inc.,USD
6702,FUJITSU LTD,Information Technology,Equity,"62,546,322.76",0.05,"62,546,322.76","2,631,890.00",23.76,Japan,Tokyo Stock Exchange,JPY
CAH,CARDINAL HEALTH INC,Health Care,Equity,"62,334,533.76",0.05,"62,334,533.76","393,924.00",158.24,United States,New York Stock Exchange Inc.,USD
NDAQ,NASDAQ INC,Financials,Equity,"62,302,210.94",0.05,"62,302,210.94","646,691.00",96.34,United States,NASDAQ,USD
XYZ,BLOCK INC CLASS A,Financials,Equity,"62,261,366.66",0.05,"62,261,366.66","826,954.00",75.29,United States,New York Stock Exchange Inc.,USD
ATCO A,ATLAS COPCO CLASS A,Industrials,Equity,"62,205,031.41",0.05,"62,205,031.41","4,124,490.00",15.08,Sweden,Nasdaq Omx Nordic,SEK
NA,NATIONAL BANK OF CANADA,Financials,Equity,"61,714,099.97",0.05,"61,714,099.97","587,663.00",105.02,Canada,Toronto Stock Exchange,CAD
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"61,700,469.04",0.05,"61,700,469.04","472,873.00",130.48,United States,New York Stock Exchange Inc.,USD
GLEN,GLENCORE PLC,Materials,Equity,"61,641,495.07",0.05,"61,641,495.07","15,407,277.00",4.00,United Kingdom,London Stock Exchange,GBP
KVUE,KENVUE INC,Consumer Staples,Equity,"61,438,600.08",0.05,"61,438,600.08","2,839,122.00",21.64,United States,New York Stock Exchange Inc.,USD
HOLN,HOLCIM LTD AG,Materials,Equity,"61,391,000.31",0.05,"61,391,000.31","762,429.00",80.52,Switzerland,SIX Swiss Exchange,CHF
ENGI,ENGIE SA,Utilities,Equity,"61,302,186.75",0.05,"61,302,186.75","2,782,991.00",22.03,France,Nyse Euronext - Euronext Paris,EUR
ARES,ARES MANAGEMENT CORP CLASS A,Financials,Equity,"60,983,343.72",0.05,"60,983,343.72","324,414.00",187.98,United States,New York Stock Exchange Inc.,USD
SYY,SYSCO CORP,Consumer Staples,Equity,"60,731,018.50",0.05,"60,731,018.50","766,322.00",79.25,United States,New York Stock Exchange Inc.,USD
CABK,CAIXABANK SA,Financials,Equity,"59,966,253.85",0.05,"59,966,253.85","6,179,620.00",9.70,Spain,Bolsa De Madrid,EUR
DDOG,DATADOG INC CLASS A,Information Technology,Equity,"59,877,106.58",0.05,"59,877,106.58","450,407.00",132.94,United States,NASDAQ,USD
GIVN,GIVAUDAN SA,Materials,Equity,"59,379,032.52",0.05,"59,379,032.52","13,983.00","4,246.52",Switzerland,SIX Swiss Exchange,CHF
ROK,ROCKWELL AUTOMATION INC,Industrials,Equity,"59,281,910.00",0.05,"59,281,910.00","171,335.00",346.00,United States,New York Stock Exchange Inc.,USD
LR,LEGRAND SA,Industrials,Equity,"58,848,693.49",0.05,"58,848,693.49","395,037.00",148.97,France,Nyse Euronext - Euronext Paris,EUR
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials,Equity,"58,733,348.32",0.05,"58,733,348.32","813,256.00",72.22,United States,New York Stock Exchange Inc.,USD
HIG,HARTFORD INSURANCE GROUP INC,Financials,Equity,"58,588,563.62",0.05,"58,588,563.62","459,266.00",127.57,United States,New York Stock Exchange Inc.,USD
AD,KONINKLIJKE AHOLD DELHAIZE NV,Consumer Staples,Equity,"58,439,063.32",0.05,"58,439,063.32","1,467,943.00",39.81,Netherlands,Euronext Amsterdam,EUR
ENI,ENI,Energy,Equity,"58,350,115.52",0.05,"58,350,115.52","3,421,246.00",17.06,Italy,Borsa Italiana,EUR
TTD,TRADE DESK INC CLASS A,Communication,Equity,"58,317,167.40",0.05,"58,317,167.40","664,962.00",87.70,United States,NASDAQ,USD
CSGP,COSTAR GROUP INC,Real Estate,Equity,"58,124,774.80",0.05,"58,124,774.80","601,955.00",96.56,United States,NASDAQ,USD
ATD,ALIMENTATION COUCHE TARD INC,Consumer Staples,Equity,"58,048,443.74",0.05,"58,048,443.74","1,126,604.00",51.53,Canada,Toronto Stock Exchange,CAD
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,"57,886,352.00",0.05,"57,886,352.00","256,225.00",225.92,United States,NASDAQ,USD
YUM,YUM BRANDS INC,Consumer Discretionary,Equity,"57,615,034.50",0.05,"57,615,034.50","413,011.00",139.50,United States,New York Stock Exchange Inc.,USD
VRSK,VERISK ANALYTICS INC,Industrials,Equity,"57,282,760.80",0.05,"57,282,760.80","216,390.00",264.72,United States,NASDAQ,USD
GRMN,GARMIN LTD,Consumer Discretionary,Equity,"57,217,938.25",0.05,"57,217,938.25","250,681.00",228.25,United States,New York Stock Exchange Inc.,USD
TSCO,TESCO PLC,Consumer Staples,Equity,"57,094,440.02",0.05,"57,094,440.02","10,185,412.00",5.61,United Kingdom,London Stock Exchange,GBP
ABX,BARRICK MINING CORP,Materials,Equity,"56,932,413.35",0.05,"56,932,413.35","2,526,857.00",22.53,Canada,Toronto Stock Exchange,CAD
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity,"56,912,422.50",0.05,"56,912,422.50","93,683.00",607.50,United States,New York Stock Exchange Inc.,USD
AMS,AMADEUS IT GROUP SA,Consumer Discretionary,Equity,"56,875,410.95",0.05,"56,875,410.95","701,493.00",81.08,Spain,Bolsa De Madrid,EUR
6701,NEC CORP,Information Technology,Equity,"56,645,277.90",0.05,"56,645,277.90","1,873,500.00",30.24,Japan,Tokyo Stock Exchange,JPY
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"56,564,681.58",0.05,"56,564,681.58","70,461.00",802.78,United States,NASDAQ,USD
2914,JAPAN TOBACCO INC,Consumer Staples,Equity,"56,493,208.98",0.05,"56,493,208.98","1,810,398.00",31.20,Japan,Tokyo Stock Exchange,JPY
STAN,STANDARD CHARTERED PLC,Financials,Equity,"55,767,170.13",0.05,"55,767,170.13","3,044,130.00",18.32,United Kingdom,London Stock Exchange,GBP
ETR,ENTERGY CORP,Utilities,Equity,"55,746,154.40",0.05,"55,746,154.40","616,661.00",90.40,United States,New York Stock Exchange Inc.,USD
ED,CONSOLIDATED EDISON INC,Utilities,Equity,"55,703,900.02",0.05,"55,703,900.02","534,689.00",104.18,United States,New York Stock Exchange Inc.,USD
DOL,DOLLARAMA INC,Consumer Discretionary,Equity,"55,497,404.30",0.05,"55,497,404.30","397,021.00",139.78,Canada,Toronto Stock Exchange,CAD
IFC,INTACT FINANCIAL CORP,Financials,Equity,"55,478,515.47",0.05,"55,478,515.47","265,095.00",209.28,Canada,Toronto Stock Exchange,CAD
NRG,NRG ENERGY INC,Utilities,Equity,"55,127,452.68",0.05,"55,127,452.68","320,583.00",171.96,United States,New York Stock Exchange Inc.,USD
SIKA,SIKA AG,Materials,Equity,"54,705,345.93",0.05,"54,705,345.93","233,039.00",234.75,Switzerland,SIX Swiss Exchange,CHF
6367,DAIKIN INDUSTRIES LTD,Industrials,Equity,"54,406,181.83",0.05,"54,406,181.83","433,149.00",125.61,Japan,Tokyo Stock Exchange,JPY
PRU,PRUDENTIAL PLC,Financials,Equity,"53,843,146.72",0.05,"53,843,146.72","4,226,534.00",12.74,United Kingdom,London Stock Exchange,GBP
VMC,VULCAN MATERIALS,Materials,Equity,"53,644,857.48",0.05,"53,644,857.48","189,444.00",283.17,United States,New York Stock Exchange Inc.,USD
U11,UNITED OVERSEAS BANK LTD,Financials,Equity,"53,606,466.56",0.05,"53,606,466.56","1,898,851.00",28.23,Singapore,Singapore Exchange,SGD
PRU,PRUDENTIAL FINANCIAL INC,Financials,Equity,"53,261,619.18",0.05,"53,261,619.18","516,201.00",103.18,United States,New York Stock Exchange Inc.,USD
CBK,COMMERZBANK AG,Financials,Equity,"53,251,170.03",0.05,"53,251,170.03","1,466,278.00",36.32,Germany,Xetra,EUR
WKL,WOLTERS KLUWER NV,Industrials,Equity,"53,160,574.71",0.05,"53,160,574.71","349,793.00",151.98,Netherlands,Euronext Amsterdam,EUR
VICI,VICI PPTYS INC,Real Estate,Equity,"53,162,183.68",0.05,"53,162,183.68","1,585,984.00",33.52,United States,New York Stock Exchange Inc.,USD
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"53,041,091.25",0.05,"53,041,091.25","790,125.00",67.13,United States,NASDAQ,USD
NUE,NUCOR CORP,Materials,Equity,"52,936,056.70",0.05,"52,936,056.70","379,606.00",139.45,United States,New York Stock Exchange Inc.,USD
FFH,FAIRFAX FINANCIAL HOLDINGS SUB VOT,Financials,Equity,"52,874,580.04",0.05,"52,874,580.04","30,137.00","1,754.47",Canada,Toronto Stock Exchange,CAD
4519,CHUGAI PHARMACEUTICAL LTD,Health Care,Equity,"52,278,753.43",0.05,"52,278,753.43","1,047,600.00",49.90,Japan,Tokyo Stock Exchange,JPY
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,"51,850,013.22",0.05,"51,850,013.22","341,703.00",151.74,United States,NASDAQ,USD
FNV,FRANCO NEVADA CORP,Materials,Equity,"51,781,144.30",0.04,"51,781,144.30","302,932.00",170.93,Canada,Toronto Stock Exchange,CAD
OTIS,OTIS WORLDWIDE CORP,Industrials,Equity,"51,611,056.68",0.04,"51,611,056.68","598,181.00",86.28,United States,New York Stock Exchange Inc.,USD
IMB,IMPERIAL BRANDS PLC,Consumer Staples,Equity,"51,326,854.68",0.04,"51,326,854.68","1,296,044.00",39.60,United Kingdom,London Stock Exchange,GBP
TRI,THOMSON REUTERS CORP,Industrials,Equity,"51,312,531.94",0.04,"51,312,531.94","257,197.00",199.51,Canada,Toronto Stock Exchange,CAD
STT,STATE STREET CORP,Financials,Equity,"51,181,642.04",0.04,"51,181,642.04","465,034.00",110.06,United States,New York Stock Exchange Inc.,USD
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"51,092,617.01",0.04,"51,092,617.01","444,709.00",114.89,United States,New York Stock Exchange Inc.,USD
WEC,WEC ENERGY GROUP INC,Utilities,Equity,"50,760,600.00",0.04,"50,760,600.00","461,460.00",110.00,United States,New York Stock Exchange Inc.,USD
TRGP,TARGA RESOURCES CORP,Energy,Equity,"50,669,665.80",0.04,"50,669,665.80","309,660.00",163.63,United States,New York Stock Exchange Inc.,USD
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology,Equity,"50,156,325.60",0.04,"50,156,325.60","717,544.00",69.90,United States,NASDAQ,USD
PCG,PG&E CORP,Utilities,Equity,"50,143,312.42",0.04,"50,143,312.42","3,305,426.00",15.17,United States,New York Stock Exchange Inc.,USD
IQV,IQVIA HOLDINGS INC,Health Care,Equity,"49,985,368.59",0.04,"49,985,368.59","271,763.00",183.93,United States,New York Stock Exchange Inc.,USD
SLF,SUN LIFE FINANCIAL INC,Financials,Equity,"49,874,533.98",0.04,"49,874,533.98","821,342.00",60.72,Canada,Toronto Stock Exchange,CAD
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"49,773,335.52",0.04,"49,773,335.52","1,699,909.00",29.28,United States,New York Stock Exchange Inc.,USD
XYL,XYLEM INC,Industrials,Equity,"49,682,741.16",0.04,"49,682,741.16","345,956.00",143.61,United States,New York Stock Exchange Inc.,USD
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,Equity,"49,655,969.87",0.04,"49,655,969.87","262,883.00",188.89,United States,New York Stock Exchange Inc.,USD
ADS,ADIDAS N AG,Consumer Discretionary,Equity,"49,143,944.12",0.04,"49,143,944.12","255,579.00",192.29,Germany,Xetra,EUR
G,ASSICURAZIONI GENERALI,Financials,Equity,"48,973,123.46",0.04,"48,973,123.46","1,301,639.00",37.62,Italy,Borsa Italiana,EUR
CCO,CAMECO CORP,Energy,Equity,"48,831,142.95",0.04,"48,831,142.95","654,954.00",74.56,Canada,Toronto Stock Exchange,CAD
WTW,WILLIS TOWERS WATSON PLC,Financials,Equity,"48,640,278.50",0.04,"48,640,278.50","149,893.00",324.50,United States,NASDAQ,USD
ASSA B,ASSA ABLOY B,Industrials,Equity,"48,435,451.13",0.04,"48,435,451.13","1,456,007.00",33.27,Sweden,Nasdaq Omx Nordic,SEK
FICO,FAIR ISAAC CORP,Information Technology,Equity,"48,290,536.48",0.04,"48,290,536.48","35,954.00","1,343.12",United States,New York Stock Exchange Inc.,USD
WDS,WOODSIDE ENERGY GROUP LTD,Energy,Equity,"48,257,863.07",0.04,"48,257,863.07","2,811,944.00",17.16,Australia,Asx - All Markets,AUD
DD,DUPONT DE NEMOURS INC,Materials,Equity,"48,231,447.00",0.04,"48,231,447.00","664,345.00",72.60,United States,New York Stock Exchange Inc.,USD
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,"47,936,032.32",0.04,"47,936,032.32","3,768,556.00",12.72,United States,NASDAQ,USD
ACGL,ARCH CAPITAL GROUP LTD,Financials,Equity,"47,912,218.64",0.04,"47,912,218.64","540,404.00",88.66,United States,NASDAQ,USD
MTB,M&T BANK CORP,Financials,Equity,"47,796,007.20",0.04,"47,796,007.20","254,180.00",188.04,United States,New York Stock Exchange Inc.,USD
LPLA,LPL FINANCIAL HOLDINGS INC,Financials,Equity,"47,736,806.46",0.04,"47,736,806.46","127,659.00",373.94,United States,NASDAQ,USD
OXY,OCCIDENTAL PETROLEUM CORP,Energy,Equity,"47,586,943.44",0.04,"47,586,943.44","1,104,618.00",43.08,United States,New York Stock Exchange Inc.,USD
UMG,UNIVERSAL MUSIC GROUP NV,Communication,Equity,"47,494,063.76",0.04,"47,494,063.76","1,659,132.00",28.63,Netherlands,Euronext Amsterdam,EUR
9432,NTT INC,Communication,Equity,"47,154,925.57",0.04,"47,154,925.57","45,060,000.00",1.05,Japan,Tokyo Stock Exchange,JPY
RJF,RAYMOND JAMES INC,Financials,Equity,"47,007,667.50",0.04,"47,007,667.50","282,125.00",166.62,United States,New York Stock Exchange Inc.,USD
PGHN,PARTNERS GROUP HOLDING AG,Financials,Equity,"46,965,091.36",0.04,"46,965,091.36","34,655.00","1,355.22",Switzerland,SIX Swiss Exchange,CHF
8725,MS&AD INSURANCE GROUP HOLDINGS INC,Financials,Equity,"46,613,929.09",0.04,"46,613,929.09","2,102,475.00",22.17,Japan,Tokyo Stock Exchange,JPY
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,"46,599,833.52",0.04,"46,599,833.52","658,748.00",70.74,United States,NASDAQ,USD
3382,SEVEN & I HOLDINGS LTD,Consumer Staples,Equity,"46,036,662.54",0.04,"46,036,662.54","3,410,136.00",13.50,Japan,Tokyo Stock Exchange,JPY
8750,DAI-ICHI LIFE HOLDINGS INC,Financials,Equity,"45,680,123.77",0.04,"45,680,123.77","5,662,300.00",8.07,Japan,Tokyo Stock Exchange,JPY
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Equity,"45,622,878.42",0.04,"45,622,878.42","796,767.00",57.26,United States,NASDAQ,USD
IR,INGERSOLL RAND INC,Industrials,Equity,"45,561,991.65",0.04,"45,561,991.65","586,761.00",77.65,United States,New York Stock Exchange Inc.,USD
SLHN,SWISS LIFE HOLDING AG,Financials,Equity,"45,469,545.99",0.04,"45,469,545.99","42,631.00","1,066.58",Switzerland,SIX Swiss Exchange,CHF
HUM,HUMANA INC,Health Care,Equity,"45,161,808.78",0.04,"45,161,808.78","177,474.00",254.47,United States,New York Stock Exchange Inc.,USD
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"45,082,925.16",0.04,"45,082,925.16","782,418.00",57.62,United States,New York Stock Exchange Inc.,USD
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity,"45,037,531.78",0.04,"45,037,531.78","753,514.00",59.77,United States,NASDAQ,USD
HEI,HEIDELBERG MATERIALS AG,Materials,Equity,"44,965,895.54",0.04,"44,965,895.54","201,022.00",223.69,Germany,Xetra,EUR
BAYN,BAYER AG,Health Care,Equity,"44,832,534.27",0.04,"44,832,534.27","1,398,101.00",32.07,Germany,Xetra,EUR
TEAM,ATLASSIAN CORP CLASS A,Information Technology,Equity,"44,750,009.92",0.04,"44,750,009.92","241,318.00",185.44,United States,NASDAQ,USD
8053,SUMITOMO CORP,Industrials,Equity,"44,661,681.07",0.04,"44,661,681.07","1,688,065.00",26.46,Japan,Tokyo Stock Exchange,JPY
ZS,ZSCALER INC,Information Technology,Equity,"44,525,149.48",0.04,"44,525,149.48","157,913.00",281.96,United States,NASDAQ,USD
UCB,UCB SA,Health Care,Equity,"44,455,485.82",0.04,"44,455,485.82","205,707.00",216.11,Belgium,Nyse Euronext - Euronext Brussels,EUR
VTR,VENTAS REIT INC,Real Estate,Equity,"44,383,290.99",0.04,"44,383,290.99","645,763.00",68.73,United States,New York Stock Exchange Inc.,USD
BMW,BMW AG,Consumer Discretionary,Equity,"44,220,292.80",0.04,"44,220,292.80","456,568.00",96.85,Germany,Xetra,EUR
EFX,EQUIFAX INC,Industrials,Equity,"43,934,001.60",0.04,"43,934,001.60","182,944.00",240.15,United States,New York Stock Exchange Inc.,USD
AEE,AMEREN CORP,Utilities,Equity,"43,895,515.06",0.04,"43,895,515.06","430,306.00",102.01,United States,New York Stock Exchange Inc.,USD
AAL,ANGLO AMERICAN PLC,Materials,Equity,"43,837,452.63",0.04,"43,837,452.63","1,578,303.00",27.78,United Kingdom,London Stock Exchange,GBP
EME,EMCOR GROUP INC,Industrials,Equity,"43,693,750.00",0.04,"43,693,750.00","69,910.00",625.00,United States,New York Stock Exchange Inc.,USD
EBS,ERSTE GROUP BANK AG,Financials,Equity,"43,617,183.36",0.04,"43,617,183.36","459,897.00",94.84,Austria,Wiener Boerse Ag,EUR
NTR,NUTRIEN LTD,Materials,Equity,"43,593,114.36",0.04,"43,593,114.36","738,090.00",59.06,Canada,Toronto Stock Exchange,CAD
DXCM,DEXCOM INC,Health Care,Equity,"43,547,362.32",0.04,"43,547,362.32","577,092.00",75.46,United States,NASDAQ,USD
DTE,DTE ENERGY,Utilities,Equity,"43,454,797.20",0.04,"43,454,797.20","311,370.00",139.56,United States,New York Stock Exchange Inc.,USD
EQT,EQT CORP,Energy,Equity,"43,400,112.87",0.04,"43,400,112.87","839,623.00",51.69,United States,New York Stock Exchange Inc.,USD
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Industrials,Equity,"43,377,475.05",0.04,"43,377,475.05","163,485.00",265.33,United States,New York Stock Exchange Inc.,USD
SSE,SSE PLC,Utilities,Equity,"43,310,398.77",0.04,"43,310,398.77","1,756,870.00",24.65,United Kingdom,London Stock Exchange,GBP
HO,THALES SA,Industrials,Equity,"42,845,973.70",0.04,"42,845,973.70","156,373.00",274.00,France,Nyse Euronext - Euronext Paris,EUR
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples,Equity,"42,849,191.10",0.04,"42,849,191.10","251,094.00",170.65,United States,New York Stock Exchange Inc.,USD
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology,Equity,"42,780,934.76",0.04,"42,780,934.76","265,193.00",161.32,United States,New York Stock Exchange Inc.,USD
6301,KOMATSU LTD,Industrials,Equity,"42,690,529.09",0.04,"42,690,529.09","1,325,438.00",32.21,Japan,Tokyo Stock Exchange,JPY
8002,MARUBENI CORP,Industrials,Equity,"42,626,280.44",0.04,"42,626,280.44","2,053,932.00",20.75,Japan,Tokyo Stock Exchange,JPY
