Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,"79,068,391.74",0.07,"79,068,391.74","123,171.00",641.94,United States,NASDAQ,USD
BDX,BECTON DICKINSON,Health Care,Equity,"79,026,845.73",0.07,"79,026,845.73","446,757.00",176.89,United States,New York Stock Exchange Inc.,USD
FDX,FEDEX CORP,Industrials,Equity,"78,989,133.91",0.07,"78,989,133.91","355,151.00",222.41,United States,New York Stock Exchange Inc.,USD
COR,CENCORA INC,Health Care,Equity,"78,786,570.90",0.07,"78,786,570.90","269,494.00",292.35,United States,New York Stock Exchange Inc.,USD
MQG,MACQUARIE GROUP LTD DEF,Financials,Equity,"78,694,595.91",0.07,"78,694,595.91","566,228.00",138.98,Australia,Asx - All Markets,AUD
SRE,SEMPRA,Utilities,Equity,"78,679,988.74",0.07,"78,679,988.74","955,202.00",82.37,United States,New York Stock Exchange Inc.,USD
LONN,LONZA GROUP AG,Health Care,Equity,"78,640,077.30",0.07,"78,640,077.30","113,849.00",690.74,Switzerland,SIX Swiss Exchange,CHF
9433,KDDI CORP,Communication,Equity,"78,630,070.20",0.07,"78,630,070.20","4,639,300.00",16.95,Japan,Tokyo Stock Exchange,JPY
SU,SUNCOR ENERGY INC,Energy,Equity,"78,409,100.54",0.07,"78,409,100.54","1,999,831.00",39.21,Canada,Toronto Stock Exchange,CAD
CTVA,CORTEVA INC,Materials,Equity,"77,797,895.14",0.07,"77,797,895.14","1,075,894.00",72.31,United States,New York Stock Exchange Inc.,USD
