Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
EOG,"EOG Resources, Inc.",Energy,10.77,2.34,,0.16,0.23,0.03,-3.81,-5.15,0.0,62.5
HWM,Howmet Aerospace Inc.,Industrials,53.01,14.64,,0.68,0.22,0.0,-0.3,94.71,0.0,50.0
ECL,Ecolab Inc.,Basic Materials,36.53,11.63,3.26,1.04,0.17,0.01,1.74,15.82,0.61,50.0
RIO.L,RIO TINTO PLC ORD 10P,Basic Materials,9.73,127.58,,0.38,,0.0,6.93,-7.19,0.0,50.0
USB,U.S. Bancorp,Financial Services,10.73,1.28,1.63,0.0,,0.05,-5.16,11.47,1.23,62.5
NG..L,,,,,,0.0,,,,,0.0,12.5
CSU.TO,CONSTELLATION SOFTWARE INC.,Technology,95.12,32.0,,1.3,0.18,0.0,-7.19,13.32,0.0,37.5
8035.T,TOKYO ELECTRON,Technology,18.05,5.21,2.75,0.0,0.15,0.03,-21.66,-14.82,0.73,75.0
8058.T,MITSUBISHI CORP,Industrials,13.26,1.35,,0.6,0.06,0.0,8.79,17.96,0.0,25.0
HCA,"HCA Healthcare, Inc.",Healthcare,16.02,-20.51,1.22,0.0,0.27,0.01,0.84,6.59,1.63,100.0
AEM.TO,AGNICO EAGLE MINES LIMITED,Basic Materials,23.04,4.16,,0.03,0.19,0.01,15.89,87.96,0.0,62.5
CSX,CSX Corporation,Industrials,21.74,5.34,2.87,1.6,0.16,0.01,6.3,5.79,0.7,62.5
AZO,"AutoZone, Inc.",Consumer Cyclical,27.3,-16.98,2.69,0.0,0.76,0.0,7.83,29.32,0.74,62.5
CP.TO,CANADIAN PACIFIC KANSAS CITY LI,Industrials,23.0,2.05,,0.47,0.09,0.01,-7.34,-3.28,0.0,50.0
CNQ.TO,CDN NATURAL RES,Energy,11.72,2.12,,0.41,0.19,0.05,-4.73,-7.08,0.0,75.0
SNOW,Snowflake Inc.,Technology,,26.57,12.28,1.11,-0.31,0.0,-13.6,54.11,0.0,12.5
CM.TO,CANADIAN IMPERIAL BANK OF COMME,Financial Services,12.56,1.56,,0.0,,0.04,0.39,50.12,0.0,37.5
RBLX,Roblox Corporation,Communication Services,,252.37,,5.29,-0.67,0.0,20.65,247.68,0.0,12.5
8001.T,ITOCHU CORP,Industrials,12.97,1.97,,0.74,0.06,0.03,4.25,29.27,0.0,50.0
ADSK,"Autodesk, Inc.",Technology,62.38,23.77,1.73,0.97,0.27,0.0,-5.4,20.9,1.16,62.5
APD,"Air Products and Chemicals, Inc",Basic Materials,41.01,4.14,7.13,1.03,0.06,0.02,-1.87,6.36,0.28,12.5
FTNT,"Fortinet, Inc.",Technology,29.64,27.63,2.1,0.48,0.76,0.0,-30.9,6.74,0.95,100.0
WES.AX,WESFARMER FPO [WES],Consumer Cyclical,39.41,11.42,,1.21,,0.02,8.84,29.84,0.0,37.5
ELV,"Elevance Health, Inc.",Healthcare,12.48,1.51,0.77,0.69,0.11,0.02,-15.12,-43.87,2.61,62.5
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,Financial Services,11.56,120.27,2.13,0.0,,0.0,7.14,41.87,0.94,62.5
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,40.35,-13.47,1.65,0.0,0.39,0.0,-3.75,27.45,1.21,62.5
CL,Colgate-Palmolive Company,Consumer Defensive,23.79,97.46,1.83,8.33,0.44,0.02,-6.97,-15.17,1.09,75.0
DLR,"Digital Realty Trust, Inc.",Real Estate,44.48,2.61,5.31,0.81,0.05,0.03,-0.74,16.57,0.38,37.5
TRV,"The Travelers Companies, Inc.",Financial Services,11.71,2.02,3.88,0.27,0.18,0.02,3.74,26.76,0.52,87.5
ABI,VictoryShares Pioneer Asset-Bas,,,,,0.0,,0.0,0.81,0.77,0.0,12.5
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,36.67,15.76,1.98,1.35,0.57,0.0,-25.92,-25.4,1.01,75.0
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,Consumer Cyclical,40.28,628.17,1.31,1.01,,0.0,2.71,10.0,1.53,50.0
ANZ.AX,ANZ GROUP FPO [ANZ],Financial Services,13.85,1.28,,0.0,,0.05,2.73,17.95,0.0,25.0
COIN,"Coinbase Global, Inc.",Financial Services,29.92,6.58,11.44,0.39,0.22,0.0,-16.93,58.2,0.17,87.5
TFC,Truist Financial Corporation,Financial Services,11.67,0.94,,0.0,,0.05,-3.46,8.73,0.0,37.5
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,14.18,1.96,1.15,0.09,0.15,0.0,1.89,-50.09,1.74,87.5
MAR,Marriott International,Consumer Cyclical,29.24,-23.86,1.55,0.0,0.31,0.01,-6.9,20.43,1.29,75.0
AEP,American Electric Power Company,Utilities,16.5,2.01,2.51,1.51,0.07,0.03,8.29,19.59,0.8,37.5
388.HK,,,,,,0.0,,,,,0.0,12.5
UPS,"United Parcel Service, Inc.",Industrials,12.9,4.67,1.46,1.83,0.2,0.08,-15.15,-27.19,1.38,75.0
AXON,"Axon Enterprise, Inc.",Industrials,205.99,24.21,,0.75,0.06,0.0,4.55,130.82,0.0,25.0
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC,Financial Services,53.85,249.21,1.74,0.43,,0.0,-8.1,2.14,1.15,62.5
NET,"Cloudflare, Inc.",Technology,,57.5,,2.79,-0.02,0.0,5.74,163.29,0.0,12.5
DBK,,,,,,0.0,,,,,0.0,12.5
NSC,Norfolk Southern Corporation,Industrials,18.91,4.25,2.68,1.21,0.16,0.02,8.21,19.44,0.75,62.5
TEL,TE Connectivity plc,Technology,41.56,4.83,3.01,0.48,0.17,0.01,16.99,42.71,0.66,50.0
D,"Dominion Energy, Inc.",Utilities,20.53,2.01,2.32,1.51,0.07,0.04,8.15,18.95,0.86,50.0
GM,General Motors Company,Consumer Cyclical,8.17,0.77,1.38,2.0,0.04,0.01,1.83,24.41,1.45,50.0
MPC,Marathon Petroleum Corporation,Energy,23.38,2.94,2.72,1.29,0.12,0.02,-10.28,-6.49,0.74,62.5
VRT,"Vertiv Holdings, LLC",Industrials,66.95,17.09,1.02,1.02,0.22,0.0,9.01,96.08,1.96,75.0
FCX,"Freeport-McMoRan, Inc.",Basic Materials,31.72,3.22,4.44,0.31,0.25,0.01,-7.86,3.5,0.45,87.5
FLUT,Flutter Entertainment plc,Consumer Cyclical,96.42,4.84,0.25,0.84,0.04,0.0,-2.0,46.14,8.06,37.5
KMI,"Kinder Morgan, Inc.",Energy,22.04,1.94,2.23,1.02,0.07,0.04,-2.25,33.62,0.9,62.5
APO,"Apollo Global Management, Inc. ",Financial Services,26.49,4.48,,0.39,0.21,0.01,-3.19,37.43,0.0,50.0
ROP,"Roper Technologies, Inc.",Technology,37.58,2.93,2.87,0.45,0.08,0.01,-4.34,2.04,0.7,62.5
DB1,,,,,,0.0,,,,,0.0,12.5
URI,"United Rentals, Inc.",Industrials,22.24,6.13,1.54,1.6,0.18,0.01,6.84,24.52,1.3,75.0
ABNB,"Airbnb, Inc.",Consumer Cyclical,29.37,9.53,1.71,0.29,0.27,0.0,-11.57,5.16,1.17,100.0
9983.T,FAST RETAILING CO LTD,Consumer Cyclical,35.72,6.71,2.75,0.29,0.2,0.01,-1.87,17.34,0.73,62.5
PWR,"Quanta Services, Inc.",Industrials,59.68,7.3,1.92,0.65,0.12,0.0,1.05,48.92,1.04,62.5
RACE,Ferrari N.V.,Consumer Cyclical,43.01,22.33,4.29,0.89,0.31,0.01,-9.61,6.49,0.47,50.0
SE,Sea Limited,Consumer Cyclical,103.22,9.72,0.78,0.46,0.11,0.0,-3.36,127.58,2.55,62.5
IFX,538344,,,,,0.0,,,,,0.0,12.5
CMI,Cummins Inc.,Industrials,18.13,4.52,2.34,0.67,0.22,0.02,15.67,34.5,0.85,87.5
GLW,Corning Incorporated,Technology,69.97,4.79,0.63,0.74,0.08,0.02,25.11,75.21,3.16,50.0
NXPI,NXP Semiconductors N.V.,Technology,24.72,5.46,1.26,1.16,0.15,0.02,-10.09,-12.81,1.59,75.0
AFL,AFLAC Incorporated,Financial Services,23.32,2.04,,0.55,0.09,0.02,1.58,4.39,0.0,25.0
ALL,Allstate Corporation (The),Financial Services,9.73,2.48,2.14,0.34,0.26,0.02,6.55,23.25,0.94,100.0
LNG,"Cheniere Energy, Inc.",Energy,13.51,7.63,2.41,2.25,0.24,0.0,-1.97,27.16,0.83,87.5
III.L,"""3i Group Plc""",Financial Services,7.82,159.85,,0.05,,0.0,-2.42,36.45,0.0,62.5
8031.T,MITSUI & CO,Industrials,10.55,1.22,,0.63,0.06,0.0,5.48,18.49,0.0,25.0
MFC.TO,MANULIFE FIN,Financial Services,13.36,1.49,,0.45,0.16,0.04,-0.77,26.8,0.0,62.5
BN,Brookfield Corporation,Financial Services,147.07,2.28,,1.57,,0.01,3.42,44.98,0.0,12.5
6857.T,ADVANTEST CORP,Technology,48.08,13.36,2.38,0.16,,0.0,-4.51,81.28,0.84,75.0
SREN.SW,SWISS RE N,Financial Services,17.19,1.88,,0.34,,0.0,5.76,53.06,0.0,50.0
ITX,,,,,,0.0,,,,,0.0,12.5
4063.T,SHIN-ETSU CHEMICAL CO,Basic Materials,16.48,2.01,,0.06,,0.02,-6.03,-23.78,0.0,37.5
CNR.TO,CANADIAN NATIONAL RAILWAY CO.,Industrials,17.54,3.7,,0.97,,0.03,-11.22,-14.7,0.0,37.5
DGE.L,DIAGEO PLC ORD 28 101/108P,Consumer Defensive,25.58,404.93,0.65,1.86,,0.0,5.54,-15.9,3.05,62.5
SPG,"Simon Property Group, Inc.",Real Estate,25.49,22.34,,8.38,0.12,0.05,1.23,9.21,0.0,50.0
FAST,Fastenal Company,Industrials,46.14,14.46,4.25,0.14,,0.02,11.1,50.08,0.47,62.5
CTVA,"Corteva, Inc.",Basic Materials,32.68,1.86,1.21,0.14,,0.01,-6.94,39.02,1.65,75.0
MQG.AX,MACQ GROUP FPO [MQG],Financial Services,19.51,2.41,,0.0,,0.03,-4.05,10.53,0.0,25.0
COR,"Cencora, Inc.",Healthcare,29.27,27.91,0.77,4.59,0.29,0.01,-5.01,20.69,2.6,87.5
SU.TO,SUNCOR ENERGY INC.,Energy,11.8,1.47,,0.32,0.15,0.04,0.43,3.05,0.0,50.0
LONN.SW,LONZA N,Healthcare,52.42,4.43,1.25,0.53,,0.01,-3.2,-1.75,1.59,50.0
SRE,DBA Sempra,Utilities,17.96,1.75,2.18,1.0,0.05,0.0,9.69,7.6,0.92,50.0
9433.T,KDDI CORPORATION,Communication Services,15.24,1.99,2.04,0.9,0.05,0.03,4.71,17.63,0.98,37.5
BDX,"Becton, Dickinson and Company",Healthcare,35.44,2.18,0.94,0.76,0.06,0.02,10.26,-16.37,2.13,62.5
IDXX,"IDEXX Laboratories, Inc.",Healthcare,54.7,36.16,4.86,0.85,0.49,0.0,21.72,36.29,0.41,62.5
CARR,Carrier Global Corporation,Industrials,38.17,3.82,18.37,0.79,0.13,0.01,-12.74,3.82,0.11,50.0
NWG.L,NATWEST GROUP PLC ORD 107.69P,Financial Services,8.86,117.69,,0.0,,0.0,5.08,59.28,0.0,25.0
FDX,FedEx Corporation,Industrials,13.57,1.93,0.98,0.0,0.13,0.02,-3.58,-15.99,2.05,87.5
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,,229.45,,10.93,-0.18,0.0,36.79,62.86,0.0,12.5
LHX,"L3Harris Technologies, Inc.",Industrials,30.14,2.62,0.59,0.63,0.08,0.02,4.12,20.53,3.4,62.5
INVE-B.ST,Investor AB ser. B,Financial Services,37.74,1.05,,0.13,,0.02,0.61,3.37,0.0,37.5
RSG,"Republic Services, Inc.",Industrials,34.79,6.09,3.66,1.1,0.12,0.01,-2.2,18.13,0.55,62.5
PCAR,PACCAR Inc.,Industrials,16.7,2.7,2.86,0.85,0.11,0.01,-1.35,9.17,0.7,62.5
AME,"AMETEK, Inc.",Industrials,29.32,4.05,2.87,0.21,0.15,0.01,-0.11,14.9,0.7,75.0
O39.SI,OCBC Bank,Financial Services,10.43,1.3,4.12,0.0,,0.05,3.2,27.92,0.49,37.5
O,Realty Income Corporation,Real Estate,55.77,1.34,,0.72,0.03,0.06,1.4,0.24,0.0,0.0
CBRE,CBRE Group Inc,Real Estate,43.53,5.52,1.1,1.08,0.09,0.0,11.2,42.39,1.81,50.0
ADYEN,,,,,,0.0,,,,,0.0,12.5
WDAY,"Workday, Inc.",Technology,124.06,6.65,0.97,0.38,0.06,0.0,-7.54,4.77,2.06,50.0
RKT.L,RECKITT BENCKISER GROUP PLC ORD,Consumer Defensive,29.53,584.74,4.46,1.48,,0.0,8.05,29.25,0.45,50.0
AMP,"Ameriprise Financial, Inc.",Financial Services,15.73,7.84,1.96,0.58,0.36,0.01,-6.1,26.21,1.02,87.5
WCN,"Waste Connections, Inc.",Industrials,75.76,5.81,,1.04,0.07,0.01,3.37,4.91,0.0,12.5
TRP.TO,TC ENERGY CORP.,Energy,16.62,2.83,,1.59,0.1,0.05,6.59,31.61,0.0,12.5
NDA FI,,,,,,0.0,,,,,0.0,12.5
PSX,Phillips 66,Energy,28.3,1.75,1.0,0.73,0.06,0.04,-8.72,-8.83,2.0,37.5
EW,Edwards Lifesciences Corporatio,Healthcare,32.78,4.37,4.67,0.07,0.15,0.0,1.5,21.21,0.43,75.0
ALC.SW,ALCON N,Healthcare,38.18,1.56,2.33,0.24,0.06,0.0,0.7,-12.97,0.86,75.0
GMG.AX,GOOD GROUP STAPLED [GMG],Real Estate,75.34,3.58,,0.31,,0.01,4.06,10.46,0.0,12.5
DHL,,,,,,0.0,,,,,0.0,12.5
EXPN.L,EXPERIAN PLC ORD USD0.10,Industrials,40.04,687.76,2.16,1.01,,0.0,-1.83,9.04,0.93,50.0
AIG,"American International Group, I",Financial Services,19.06,1.05,,0.22,0.1,0.02,-5.95,10.73,0.0,37.5
CCI,Crown Castle Inc.,Real Estate,,-32.89,2.8,0.0,-0.13,0.05,1.05,-0.06,0.0,37.5
DHI,"D.R. Horton, Inc.",Consumer Cyclical,12.59,1.95,1.65,0.3,0.16,0.01,13.36,-8.51,1.21,87.5
FERG,Ferguson Enterprises Inc.,Industrials,27.94,7.98,1.62,1.05,0.26,0.01,-0.2,14.65,1.24,75.0
TGT,Target Corporation,Consumer Defensive,11.58,3.2,2.52,1.3,0.19,0.04,2.9,-19.46,0.8,62.5
OKE,"ONEOK, Inc.",Energy,14.51,2.15,1.3,1.48,0.11,0.05,-7.09,-8.27,1.55,75.0
EBAY,eBay Inc.,Consumer Cyclical,20.7,9.0,2.16,1.51,0.24,0.01,22.04,67.67,0.93,87.5
ROST,"Ross Stores, Inc.",Consumer Cyclical,22.94,8.53,2.86,0.9,0.4,0.01,10.68,5.13,0.7,62.5
7267.T,HONDA MOTOR CO,Consumer Cyclical,11.16,0.56,,0.98,0.09,0.04,8.47,18.16,0.0,25.0
SLB,Schlumberger N.V.,Energy,11.26,2.19,4.54,0.64,0.17,0.03,-9.32,-22.37,0.44,62.5
SGO,,,,,,0.0,,,,,0.0,12.5
ARGX,argenx SE,Healthcare,33.72,6.64,,0.01,0.11,0.0,19.21,23.71,0.0,75.0
MBG,SPDR Bloomberg Barclays Mortgag,,,,,0.0,,,0.64,3.24,0.0,12.5
PEG,Public Service Enterprise Group,Utilities,22.14,2.62,2.68,1.41,0.08,0.03,7.49,13.17,0.75,37.5
VEEV,Veeva Systems Inc.,Healthcare,60.03,7.4,1.51,0.01,0.12,0.0,-0.78,50.99,1.32,87.5
XEL,Xcel Energy Inc.,Utilities,20.31,2.07,2.92,1.59,0.05,0.03,8.09,30.83,0.69,37.5
GLE,Global Engine Group Holding Lim,Technology,,0.27,,0.0,,0.0,-49.95,-76.17,0.0,12.5
7741.T,HOYA CORP,Healthcare,33.33,6.8,3.37,0.04,0.12,0.01,12.45,0.1,0.59,62.5
VLO,Valero Energy Corporation,Energy,53.75,1.72,6.12,0.4,0.04,0.03,-9.85,-8.88,0.33,37.5
6503.T,MITSUBISHI ELECTRIC CORP,Industrials,23.19,1.9,2.23,0.09,0.06,0.01,15.98,71.97,0.9,50.0
4502.T,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,49.75,0.97,0.42,0.73,0.03,0.05,-3.72,10.22,4.79,50.0
WPM.TO,WHEATON PRECIOUS METALS CORP,Basic Materials,72.93,8.66,,0.0,0.1,0.0,13.95,87.3,0.0,50.0
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,30.46,1.87,1.04,0.75,0.07,0.03,2.29,2.33,1.92,50.0
PAYX,"Paychex, Inc.",Technology,30.83,12.33,2.49,1.22,0.25,0.03,-2.52,16.65,0.8,75.0
VOLV-B.ST,"Volvo, AB ser. B",Industrials,15.42,3.58,,1.59,0.12,0.03,6.84,15.85,0.0,50.0
KR,Kroger Company (The),Consumer Defensive,20.23,6.02,1.75,2.29,0.15,0.02,5.66,40.64,1.14,75.0
DSV.CO,DSV A/S,Industrials,33.47,3.1,1.49,0.95,0.08,0.0,-4.13,23.27,1.35,50.0
EA,Electronic Arts Inc.,Communication Services,41.91,6.92,1.6,0.36,0.19,0.0,9.8,14.94,1.25,75.0
HLN.L,HALEON PLC ORD GBP0.01,Healthcare,20.89,200.34,3.05,0.53,0.09,0.0,-3.27,-4.91,0.66,50.0
CPRT,"Copart, Inc.",Industrials,30.59,5.08,2.28,0.01,0.19,0.0,-3.04,-9.41,0.88,87.5
BKR,Baker Hughes Company,Energy,14.15,2.41,5.92,0.34,0.15,0.02,10.65,26.18,0.34,87.5
MSCI,MSCI Inc.,Financial Services,36.18,-47.72,2.44,0.0,0.45,0.01,-6.04,3.62,0.82,87.5
GWW,"W.W. Grainger, Inc.",Industrials,24.11,12.39,2.13,0.67,0.45,0.01,-9.1,-2.2,0.94,75.0
9434.T,SOFTBANK CORP.,Communication Services,21.6,4.13,2.07,1.52,0.04,0.04,6.5,30.83,0.97,50.0
PSA,Public Storage,Real Estate,30.72,9.84,11.06,1.1,0.14,0.04,-2.51,-7.71,0.18,62.5
MET,"MetLife, Inc.",Financial Services,12.84,1.84,1.05,1.34,0.14,0.03,-1.77,11.88,1.9,62.5
CVNA,Carvana Co.,Consumer Cyclical,86.67,27.42,,2.92,0.21,0.0,-1.01,155.71,0.0,50.0
4568.T,DAIICHI SANKYO COMPANY LIMITED,Healthcare,22.77,4.16,7.81,0.13,0.08,0.02,10.18,-34.79,0.26,62.5
KMB,Kimberly-Clark Corporation,Consumer Defensive,18.65,35.56,5.97,5.19,0.36,0.04,3.55,0.53,0.34,62.5
EXC,Exelon Corporation,Utilities,17.23,1.66,2.2,1.77,0.07,0.03,5.05,25.65,0.91,37.5
CABK,122,,,,,0.0,,,,,0.0,12.5
F,Ford Motor Company,Consumer Cyclical,14.51,1.0,16.07,3.55,0.03,0.05,-4.31,19.03,0.13,37.5
MNST,Monster Beverage Corporation,Consumer Defensive,42.56,8.78,1.98,0.0,0.29,0.0,8.59,40.45,1.01,75.0
VRSK,"Verisk Analytics, Inc.",Industrials,41.22,118.8,3.37,10.97,0.38,0.01,-12.74,0.93,0.59,50.0
EOAN,,,,,,0.0,,,,,0.0,12.5
BAS,,,,,,0.0,,,,,0.0,12.5
TSCO.L,TESCO PLC ORD 6 1/3P,Consumer Defensive,17.69,233.72,1.57,1.26,,0.0,1.04,23.72,1.28,62.5
RMD,ResMed Inc.,Healthcare,29.88,6.97,1.89,0.14,0.25,0.01,10.91,32.26,1.06,100.0
ATCO-A.ST,Atlas Copco AB ser. A,Industrials,25.63,7.13,2.78,0.35,0.36,0.02,-7.88,-15.22,0.72,75.0
GRMN,Garmin Ltd.,Technology,28.65,5.51,3.45,0.02,0.22,0.02,7.03,40.99,0.58,87.5
6702.T,FUJITSU,Technology,30.86,3.3,,0.1,0.07,0.01,6.6,49.74,0.0,50.0
DELL,Dell Technologies Inc.,Technology,21.57,-31.08,1.02,0.0,0.27,0.01,9.12,51.39,1.95,75.0
nan.TO,,,,,,0.0,,,,,0.0,12.5
GLEN.L,GLENCORE PLC ORD USD0.01,Basic Materials,,90.7,13.64,1.29,,0.0,-3.34,-28.49,0.0,12.5
KVUE,Kenvue Inc.,Consumer Defensive,28.45,4.07,1.02,0.88,0.13,0.04,2.79,5.34,1.95,62.5
HOLN.SW,HOLCIM N,Basic Materials,11.99,2.57,,0.64,,0.05,8.86,-7.67,0.0,50.0
ENGI,,,,,,0.0,,,,,0.0,12.5
ARES,Ares Management Corporation,Financial Services,110.84,13.74,,1.52,0.13,0.02,6.48,36.63,0.0,37.5
SYY,Sysco Corporation,Consumer Defensive,21.62,21.05,1.52,7.81,0.2,0.03,5.66,9.58,1.32,75.0
YUM,"Yum! Brands, Inc.",Consumer Cyclical,27.81,-5.11,1.96,0.0,0.66,0.02,-6.34,5.31,1.02,75.0
LR,39817,,,,,0.0,,,,,0.0,12.5
FIS,Fidelity National Information S,Technology,284.64,2.63,0.61,0.92,0.06,0.02,-11.07,-6.51,3.26,37.5
HIG,"The Hartford Insurance Group, I",Financial Services,11.65,2.11,,0.25,0.2,0.02,5.16,20.44,0.0,75.0
NUE,Nucor Corporation,Basic Materials,24.91,1.57,,0.32,0.08,0.02,-0.52,-2.6,0.0,25.0
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.,Financial Services,8.73,2.04,,0.44,0.18,0.01,-3.81,63.5,0.0,75.0
STX,Seagate Technology Holdings PLC,Technology,22.22,-70.63,0.88,0.0,0.4,0.02,5.94,60.63,2.26,75.0
4519.T,CHUGAI PHARMACEUTICAL CO,Healthcare,25.33,5.05,4.1,0.0,0.22,0.01,-10.49,3.62,0.49,75.0
MPWR,"Monolithic Power Systems, Inc.",Technology,21.04,11.32,,0.01,0.19,0.01,7.08,-1.46,0.0,75.0
6701.T,NEC CORP,Technology,35.21,3.26,,0.26,0.07,0.01,17.86,101.1,0.0,25.0
MCHP,Microchip Technology Incorporat,Technology,,4.87,,0.8,0.01,0.03,-17.15,-16.42,0.0,12.5
2914.T,JAPAN TOBACCO INC,Consumer Defensive,43.64,2.09,0.49,0.4,0.09,0.04,13.9,24.41,4.06,50.0
VICI,VICI Properties Inc.,Real Estate,12.61,1.29,,0.65,0.08,0.05,-0.15,10.84,0.0,37.5
WKL,,,,,,0.0,,,,,0.0,12.5
GIVN.SW,GIVAUDAN N,Basic Materials,28.82,7.63,4.2,1.16,,0.02,-11.38,-16.54,0.48,50.0
ROK,"Rockwell Automation, Inc.",Industrials,39.16,10.82,3.43,1.07,0.19,0.02,-2.07,31.45,0.58,75.0
DDOG,"Datadog, Inc.",Technology,374.03,14.18,2.58,0.4,0.04,0.0,-8.29,16.59,0.77,37.5
VMC,Vulcan Materials Company (Holdi,Basic Materials,39.68,4.5,2.54,0.65,0.11,0.01,6.14,18.16,0.79,50.0
PRU.L,PRUDENTIAL PLC ORD 5P,Financial Services,15.28,145.4,0.98,0.27,,0.0,5.48,51.78,2.04,75.0
PRU,"Prudential Financial, Inc.",Financial Services,22.75,1.19,0.66,1.5,,0.05,-3.1,-1.16,3.01,37.5
6367.T,DAIKIN INDUSTRIES,Industrials,22.18,2.08,2.35,0.29,0.05,0.01,10.8,16.2,0.85,50.0
ABX.TO,BARRICK MINING CORPORATION,Basic Materials,17.7,2.27,,0.14,0.18,0.01,12.7,38.27,0.0,62.5
U11.SI,UOB,Financial Services,10.2,1.25,1.92,0.0,,0.05,-2.35,25.84,1.04,50.0
CBK,,,,,,0.0,,,,,0.0,12.5
AMS,American Shared Hospital Servic,Healthcare,12.11,0.67,,0.88,0.03,0.0,4.1,-15.89,0.0,12.5
SIKA.SW,SIKA N,Basic Materials,25.29,5.02,4.13,1.0,,0.02,-6.63,-20.6,0.48,50.0
NRG,"NRG Energy, Inc.",Utilities,66.03,18.12,1.32,4.86,0.09,0.01,1.78,92.95,1.52,50.0
MLM,"Martin Marietta Materials, Inc.",Basic Materials,33.81,3.93,,0.58,0.11,0.01,7.74,15.18,0.0,25.0
DOL.TO,DOLLARAMA INC,Consumer Defensive,43.72,40.01,3.26,3.56,0.5,0.0,-0.77,51.37,0.61,62.5
IFC.TO,INTACT FINANCIAL CORPORATION,Financial Services,21.43,2.78,,0.28,0.15,0.02,-9.65,15.44,0.0,62.5
ED,"Consolidated Edison, Inc.",Utilities,19.31,1.59,3.61,1.14,0.07,0.02,4.51,7.02,0.56,37.5
ETR,Entergy Corporation,Utilities,22.45,2.49,1.64,1.84,0.08,0.03,11.06,59.0,1.22,50.0
STAN.L,STANDARD CHARTERED PLC ORD USD0,Financial Services,10.2,71.47,1.24,0.0,,0.0,10.3,98.0,1.62,62.5
XYZ,"Block, Inc.",Technology,17.81,2.02,23.5,0.26,0.06,0.0,6.35,18.1,0.09,62.5
NDAQ,"Nasdaq, Inc.",Financial Services,37.25,4.71,1.72,0.82,0.11,0.01,7.81,44.06,1.16,75.0
CAH,"Cardinal Health, Inc.",Healthcare,24.6,-12.76,0.75,0.0,0.48,0.01,-4.17,58.82,2.65,87.5
AD,221882,,,,,0.0,,,,,0.0,12.5
ENI,456658,,,,,0.0,,,,,0.0,12.5
TTD,"The Trade Desk, Inc.",Communication Services,66.13,9.12,2.98,0.12,0.18,0.0,-28.3,-45.39,0.67,37.5
CSGP,"CoStar Group, Inc.",Real Estate,363.46,4.65,4.33,0.13,-0.0,0.0,11.83,27.91,0.46,37.5
ATD.TO,ALIMENTATION COUCHE-TARD INC,Consumer Cyclical,18.76,4.44,,0.93,0.16,0.01,0.84,-11.23,0.0,50.0
TTWO,"Take-Two Interactive Software, ",Communication Services,,11.52,4.1,1.01,-0.64,0.0,-10.26,50.1,0.0,12.5
A,"Agilent Technologies, Inc.",Healthcare,28.23,5.3,1.67,0.6,0.15,0.01,-5.51,-15.63,1.2,75.0
IQV,"IQVIA Holdings, Inc.",Healthcare,26.03,5.29,1.03,2.72,0.1,0.0,11.01,-24.26,1.95,75.0
3382.T,SEVEN & I HOLDINGS CO LTD,Consumer Defensive,26.46,1.38,2.27,1.02,0.05,0.02,-7.05,23.82,0.88,62.5
SLF.TO,SUN LIFE FINANCIAL INC.,Financial Services,14.21,1.75,,0.25,0.17,0.04,-7.65,24.23,0.0,50.0
TEAM,Atlassian Corporation,Technology,,32.83,2.01,0.92,-0.05,0.0,-23.92,18.83,0.0,25.0
ZS,"Zscaler, Inc.",Technology,,23.26,3.68,0.68,-0.0,0.0,-14.79,54.68,0.0,12.5
8053.T,SUMITOMO CORP,Industrials,8.69,1.04,,0.79,0.03,0.0,7.97,34.38,0.0,37.5
TRI.TO,THOMSON REUTERS CORPORATION,Industrials,50.59,8.84,,0.16,0.15,0.01,-9.62,13.91,0.0,37.5
STT,State Street Corporation,Financial Services,12.48,1.34,1.17,0.0,,0.03,1.54,46.66,1.71,50.0
PCG,Pacific Gas & Electric Co.,Utilities,13.89,1.11,0.88,1.9,0.06,0.0,10.95,-17.17,2.27,37.5
GEHC,GE HealthCare Technologies Inc.,Healthcare,14.75,3.38,3.5,1.08,0.16,0.0,-4.6,-13.52,0.57,75.0
8725.T,MS&AD INS GP HLDGS,Financial Services,7.55,1.27,0.24,0.15,0.08,0.03,8.41,14.38,8.25,75.0
PGHN.SW,PARTNERS GROUP N,Financial Services,26.47,12.24,2.73,0.89,,0.04,8.0,6.19,0.73,62.5
9432.T,NTT INC,Communication Services,13.37,1.41,2.14,1.38,0.05,0.03,3.83,13.94,0.94,50.0
RJF,"Raymond James Financial, Inc.",Financial Services,16.17,2.76,1.33,0.36,,0.01,3.95,51.76,1.51,50.0
CCO.TO,CAMECO CORP,Energy,86.89,6.85,,0.15,0.1,0.0,8.22,97.52,0.0,50.0
UMG,,,,,,0.0,,,,,0.0,12.5
