Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
MRK,"Merck & Company, Inc.",Healthcare,12.43,4.12,0.79,0.72,0.24,0.04,-3.61,-27.18,2.54,75.0
RTX,RTX Corporation,Industrials,34.04,3.32,1.54,0.68,0.1,0.02,5.94,36.13,1.3,62.5
T,AT&T Inc.,Communication Services,16.05,1.91,1.1,1.23,0.11,0.04,0.93,50.84,1.82,75.0
CBA.AX,CWLTH BANK FPO [CBA],Financial Services,30.29,3.92,,0.0,,0.03,-1.28,41.24,0.0,25.0
PEP,"Pepsico, Inc.",Consumer Defensive,26.5,10.8,3.14,2.77,0.15,0.04,7.98,-12.7,0.64,62.5
VZ,Verizon Communications Inc.,Communication Services,10.03,1.77,2.08,1.67,0.12,0.06,2.9,13.0,0.97,75.0
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,37.7,-26.33,1.37,0.0,0.66,0.01,-4.62,58.23,1.46,75.0
SIE,416520,,,,,0.0,,,,,0.0,12.5
RY.TO,ROYAL BANK OF CANADA,Financial Services,14.51,2.11,,0.0,,0.03,1.45,26.49,0.0,37.5
NOW,"ServiceNow, Inc.",Technology,109.75,16.56,1.93,0.22,0.16,0.0,-13.93,7.57,1.04,87.5
GEV,GE Vernova Inc.,Industrials,157.16,19.91,3.43,0.11,0.07,0.0,21.2,263.1,0.58,37.5
SPGI,S&P Global Inc.,Financial Services,42.74,5.09,2.43,0.32,0.13,0.01,5.32,14.82,0.82,62.5
C,"Citigroup, Inc.",Financial Services,13.7,0.87,1.03,0.0,,0.02,8.8,65.25,1.95,62.5
TMO,Thermo Fisher Scientific Inc,Healthcare,26.66,3.44,1.85,0.7,0.1,0.0,9.73,-22.47,1.08,50.0
SCHW,Charles Schwab Corporation (The,Financial Services,26.1,4.37,0.83,1.1,,0.01,5.45,57.55,2.42,50.0
ISRG,"Intuitive Surgical, Inc.",Healthcare,65.38,9.44,3.44,0.0,0.15,0.0,-10.99,1.43,0.58,75.0
7203.T,TOYOTA MOTOR CORP,Consumer Cyclical,8.53,1.0,,1.04,0.08,0.03,11.48,16.89,0.0,25.0
MS,Morgan Stanley,Financial Services,16.2,2.32,1.75,4.39,,0.03,1.85,55.67,1.15,62.5
AXP,American Express Company,Financial Services,20.89,6.41,1.99,1.88,,0.01,-6.28,26.41,1.01,50.0
TXN,Texas Instruments Incorporated,Technology,34.23,10.38,1.98,0.86,0.2,0.03,-12.85,0.33,1.01,75.0
